KWH JANUARY 2010, KWH FEBRUARY 2010, KWH MARCH 2010, KWH APRIL 2010, KWH MAY 2010, KWH JUNE 2010, KWH JULY 2010, KWH AUGUST 2010, KWH SEPTEMBER 2010, KWH OCTOBER 2010, KWH NOVEMBER 2010, KWH DECEMBER 2010
7542, 7912, 5451, 3173, 3792, 4120, 3197, 4574, 5509, 6531, 14402, 22510
0, 0, 115, 695, 3527, 8412, 4175, 3900, 3257, 3305, 2813, 3344
0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0, 0, 0, 0, 0, 0, 0, 0, 0, 1883, 2361, 1182
0, 0, 0, 0, 0, 743, 987, 3771, 2497, 1659, 1961, 2045
0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
828, 665, 919, 697, 872, 991, 1044, 989, 817, 741, 1194, 1552
0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
4632, 3358, 1884, 1770, 1416, 1863, 2039, 1922, 1489, 2969, 7759, 10780
0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
739, 1451, 1118, 985, 1866, 3192, 2624, 1920, 1289, 1117, 1181, 1405
0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0, 896, 341, 304, 347, 863, 551, 440, 341, 371, 445, 332
0, 0, 0, 0, 0, 0, 0, 0, 229, 154, 164, 97
0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
3823, 2878, 3045, 3474, 5422, 8385, 7273, 5543, 4084, 3499, 4399, 6086
0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
2443, 2410, 3653, 2112, 1749, 2352, 2418, 2077, 2329, 2148, 7086, 6683
0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0, 0, 135, 22, 15, 17, 91, 103, 37, 0, 1, 0
0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
56003, 57402, 49422, 46122, 46015, 46718, 46784, 49484, 43643, 54683, 61611, 72059
0, 0, 8, 2, 2, 2, 809, 768, 1300, 1325, 1322, 519
0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0, 0, 0, 0, 0, 0, 0, 180, 1044, 918, 550, 48
0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
3177, 1528, 1144, 1227, 919, 1081, 1207, 1120, 637, 923, 1818, 2879
0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0, 0, 0, 0, 0, 0, 0, 77, 41, 68, 62, 8
0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
10544, 2862, 2079, 5685, 2962, 3165, 3718, 3621, 3857, 5077, 10352, 16501
0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7248
0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
1774, 757, 711, 1199, 1251, 1950, 2028, 1036, 930, 2333, 3645, 3303
0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 172, 32
0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
16, 14, 358, 652, 630, 496, 557, 664, 855, 312, 142, 1357
0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 207
0, 0, 0, 0, 0, 0, 886, 728, 1387, 973, 913, 71
0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
195, 419, 559, 678, 781, 766, 685, 568, 622, 714, 770, 502
0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
16620, 13420, 8570, 6124, 5972, 7081, 6999, 5368, 4881, 6517, 15495, 22296
1526, 1665, 1824, 1579, 2916, 4211, 4884, 6874, 4105, 3460, 2946, 5672
8835, 7980, 7111, 7058, 9886, 15654, 14351, 13441, 7953, 7506, 8964, 10528
0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0, 0, 0, 0, 423, 1607, 2199, 2753, 2105, 1691, 1961, 2384
2597, 2650, 2632, 2542, 4176, 6616, 7492, 8361, 4477, 4989, 4898, 5347
242, 136, 134, 134, 144, 122, 3427, 1626, 2194, 2218, 2668, 2620
0, 0, 0, 0, 0, 9, 96, 406, 516, 1891, 1278, 1161
2824, 3051, 2679, 2674, 2981, 3070, 2892, 3050, 2787, 2790, 3885, 5153
13416, 9367, 6520, 3462, 3668, 5271, 5805, 5180, 3654, 5015, 9575, 15071
0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
4533, 9366, 8790, 7372, 8092, 4362, 6096, 7373, 4146, 6066, 14650, 21873
0, 0, 0, 0, 0, 0, 83, 97, 261, 749, 355, 334
0, 0, 913, 1205, 558, 1047, 1839, 1248, 719, 693, 1160, 1037
0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
11480, 10757, 8145, 5499, 6466, 7091, 7855, 8522, 4901, 8106, 14572, 23480
0, 0, 0, 0, 0, 125, 163, 644, 1208, 331, 257, 303
0, 3917, 708, 1743, 748, 1575, 1824, 2474, 2347, 5056, 15000, 21311
2473, 3479, 2865, 2374, 2266, 2526, 2613, 4655, 3310, 3299, 5451, 33988
0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
6171, 3593, 3812, 4376, 4431, 5945, 10220, 9527, 4271, 3009, 5696, 7423
73300, 73177, 55407, 40004, 41641, 46163, 58720, 52091, 53757, 48746, 75111, 119320
1937016, 1612999, 1378571, 1299736, 1376510, 1453082, 1448453, 1373392, 1313078, 1180224, 2100492, 2229423
0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
353, 280, 243, 204, 270, 124, 179, 257, 920, 380, 468, 424
715681, 617436, 394468, 174066, 247050, 277598, 275899, 281530, 161036, 217122, 632337, 948260
1959, 2039, 1647, 1504, 1790, 3340, 4368, 4376, 2426, 3208, 2236, 3536
0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
643775, 536018, 459252, 433599, 572985, 577723, 641965, 548415, 463473, 368392, 579919, 821720
675, 716, 659, 706, 907, 442, 679, 617, 608, 501, 551, 1162
76546, 65333, 57609, 51313, 57505, 56157, 66129, 56769, 65496, 55535, 66179, 84749
1705, 1533, 1612, 1543, 2456, 2994, 4174, 3357, 2823, 1763, 1920, 1784
0, 0, 0, 0, 0, 29, 10, 6, 4, 0, 0, 494
0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
607, 527, 416, 347, 401, 231, 1464, 1331, 927, 793, 965, 1367
0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0, 0, 0, 0, 0, 0, 0, 0, 0, 214, 660, 105
0, 40, 11, 4, 0, 0, 1754, 767, 0, 0, 0, 0
18721, 17130, 16247, 20953, 24017, 30057, 30692, 36469, 25092, 19760, 18733, 20571
0, 0, 0, 0, 0, 0, 1072, 1501, 2320, 2210, 902, 498
6600, 7720, 8320, 9560, 12120, 17319, 23735, 22596, 13991, 13608, 12777, 12953
0, 0, 0, 0, 1051, 635, 612, 878, 945, 975, 4412, 2771
548, 465, 332, 1572, 1371, 921, 1263, 1117, 1145, 1320, 1462, 429
9401, 9519, 6248, 8020, 6493, 7356, 8935, 9400, 6704, 5352, 6364, 9847
0, 0, 0, 0, 0, 0, 0, 0, 0, 198, 1614, 1196
188, 482, 322, 263, 184, 837, 1728, 1923, 1405, 1133, 1297, 381
0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
1602, 1273, 1186, 1068, 1496, 2361, 2045, 1650, 1345, 1242, 1741, 1990
0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0, 0, 0, 0, 0, 0, 371, 816, 760, 1619, 1601, 542
0, 0, 0, 0, 0, 0, 0, 0, 0, 1439, 962, 1064
0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
33358, 28126, 21339, 25936, 30723, 36992, 33194, 30796, 23495, 25377, 37355, 35978
0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
9253, 7790, 4113, 4406, 5764, 8636, 8618, 5028, 3919, 5856, 12538, 11523
0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
437255, 412333, 289527, 305400, 409311, 493884, 433193, 392577, 322957, 358519, 618711, 522020
8068, 8174, 7188, 10237, 15683, 23822, 16513, 17270, 8995, 9153, 10818, 9500
3573, 2440, 3242, 2430, 3813, 4238, 6146, 5319, 4233, 2794, 3826, 4091
0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
321, 298, 610, 647, 637, 1479, 1914, 862, 997, 640, 1136, 1437
0, 0, 1345, 928, 214, 165, 1370, 1905, 911, 498, 570, 337
0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
3716, 3352, 2739, 2995, 4097, 9349, 6891, 3903, 3122, 4504, 4273, 4618
2019, 2501, 2087, 2728, 4390, 6341, 5080, 3878, 2309, 1940, 3054, 3059
15607, 12478, 8523, 8720, 9074, 9714, 9657, 9253, 9731, 14633, 32028, 32775
936, 889, 739, 1040, 1480, 2189, 2518, 1017, 664, 1126, 802, 857
0, 5332, 12342, 6138, 3343, 3999, 3316, 2501, 3054, 2594, 3631, 23581
0, 0, 0, 0, 0, 0, 0, 0, 0, 35, 91, 0
0, 1056, 617, 682, 738, 953, 687, 715, 788, 669, 1468, 1416
4446, 4657, 4905, 5637, 8518, 10478, 4477, 3606, 9084, 10106, 11702, 14922
2146, 1615, 2734, 2251, 2246, 2478, 3488, 3141, 2170, 1841, 17374, 4725
0, 0, 0, 0, 20, 1030, 8, 9, 8, 75, 3, 0
0, 0, 0, 69, 101, 53, 6, 0, 0, 0, 0, 0
813, 372, 280, 1447, 1224, 2238, 2260, 1152, 694, 1092, 547, 771
0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
784, 711, 650, 608, 1247, 1250, 1314, 1294, 605, 648, 872, 1387
0, 0, 0, 0, 0, 0, 0, 1831, 1467, 820, 970, 90
0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 854, 1037
397, 340, 224, 1016, 676, 880, 1860, 1136, 1030, 791, 606, 437
0, 2030, 2030, 2030, 2030, 3791, 2328, 4130, 5657, 6198, 9500, 11320
3295, 2934, 2061, 1917, 3491, 5254, 5160, 3635, 3125, 3667, 6319, 7434
0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 960
0, 2581, 2246, 5913, 1450, 1329, 811, 495, 999, 757, 875, 1037
0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
3371, 11538, 4759, 3171, 2060, 2028, 2460, 2162, 1516, 4026, 18163, 14820
0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
403, 1830, 1508, 1370, 4690, 3195, 3325, 3063, 2466, 3823, 4551, 4773
97, 773, 427, 307, 629, 2513, 3669, 3277, 1941, 3675, 4127, 904
0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
383, 690, 1227, 1921, 1190, 3216, 2930, 1329, 1740, 1874, 3310, 2767
0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
1266, 1023, 897, 772, 826, 1095, 1303, 1098, 947, 860, 1489, 1908
116014, 107620, 98088, 115007, 136423, 165916, 181686, 137458, 105863, 117161, 145923, 155075
0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
15751, 16457, 11453, 15136, 21729, 40184, 41136, 37276, 24714, 21263, 29331, 36241
6608, 6174, 5391, 5056, 8287, 10254, 10152, 8471, 5872, 5817, 8316, 9048
18511, 12438, 7416, 5527, 5595, 6751, 7469, 5033, 3885, 6552, 16761, 21309
0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
866, 677, 555, 979, 1304, 1760, 1939, 1521, 855, 802, 761, 878
2965, 2752, 2449, 3167, 3779, 3461, 2738, 3144, 3121, 2394, 2684, 1259
359, 1334, 2746, 1915, 4097, 4370, 7915, 7195, 5582, 4140, 3398, 3337
1351588, 1229157, 943203, 864062, 954775, 985083, 1126242, 1088258, 986930, 924947, 1092475, 1577138
0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0, 453, 381, 331, 291, 334, 394, 473, 490, 294, 131, 72
673, 1687, 1625, 2093, 2150, 2641, 3115, 3128, 1785, 1392, 1747, 2216
0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
626, 632, 513, 585, 825, 930, 983, 807, 452, 809, 640, 795
1028, 1087, 933, 1359, 1421, 1803, 1937, 1447, 884, 1387, 1578, 1165
337, 458, 348, 553, 544, 832, 947, 795, 1062, 739, 699, 881
0, 0, 0, 11240, 2529, 3190, 3756, 2253, 2921, 2950, 11664, 13577
0, 0, 0, 0, 0, 0, 59, 129, 183, 156, 37, 29
0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
2647, 2260, 1885, 4466, 10561, 6030, 4333, 3821, 3173, 5207, 14808, 14754
2323, 4386, 2309, 1824, 1548, 3145, 2569, 2908, 1826, 3039, 9616, 9965
0, 35, 29, 129, 205, 1226, 1553, 1808, 1124, 1693, 1806, 2022
281, 423, 476, 492, 513, 735, 887, 1209, 1218, 134, 150, 1821
23583, 19863, 11086, 10662, 12277, 12549, 11999, 11870, 11401, 14640, 32111, 32845
0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0, 272, 226, 208, 701, 666, 364, 408, 1411, 617, 1877, 2088
1185, 1151, 1102, 842, 1199, 1912, 1747, 1707, 1103, 1236, 1551, 1956
15680, 11934, 5740, 4149, 3739, 4113, 3501, 4053, 3879, 4640, 7910, 14824
0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
694, 1334, 2535, 1830, 3381, 3822, 3843, 4162, 5576, 3686, 4865, 4096
0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
43389, 44683, 37485, 39593, 46224, 53119, 86180, 71476, 44229, 45225, 46206, 57082
0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0, 7670, 3828, 1701, 3416, 4208, 4714, 5175, 4363, 3994, 6656, 11423
46673, 45454, 39857, 40847, 38755, 34978, 37319, 33676, 38758, 38266, 46900, 51815
1011, 5327, 4315, 4013, 5004, 5536, 6635, 7175, 4745, 3986, 4491, 5183
1318, 1749, 1267, 1186, 6182, 5840, 6344, 6187, 5949, 7187, 7980, 8224
0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
116, 1981, 2060, 639, 823, 2047, 2563, 1300, 3887, 3660, 3880, 3992
0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
520, 432, 351, 327, 534, 1692, 1220, 1284, 1602, 810, 1054, 1207
0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
17807, 16597, 18483, 17843, 22053, 23397, 25155, 26732, 18126, 19441, 19422, 21292
0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0, 0, 241, 217, 518, 104, 73, 601, 340, 301, 331, 414
0, 0, 0, 0, 1646, 711, 1691, 1624, 956, 1170, 6651, 3386
0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0, 0, 0, 0, 0, 0, 0, 3060, 960, 548, 466, 128
0, 0, 0, 0, 0, 0, 0, 275, 552, 517, 1779, 492
2220671, 2109977, 2078785, 2080695, 2582217, 2881111, 2683380, 2614551, 2196303, 2236975, 2572044, 2611331
11921, 12145, 9759, 11542, 14348, 26617, 24210, 20383, 11983, 10335, 25327, 22462
1233, 1645, 994, 1055, 1284, 3527, 3099, 2527, 904, 626, 2092, 1622
0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
2068, 1332, 905, 763, 844, 851, 803, 851, 767, 1012, 2895, 2781
13967, 13075, 4204, 8958, 6622, 8484, 8686, 8821, 5760, 6859, 15269, 26300
0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
30763, 30661, 26372, 29837, 41147, 45699, 54126, 44662, 29528, 33115, 33277, 39087
0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0, 0, 0, 0, 0, 0, 0, 0, 525, 509, 796, 507
0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0, 0, 0, 264, 265, 378, 758, 325, 272, 177, 170, 207
0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0, 0, 0, 0, 0, 0, 0, 0, 0, 288, 133, 168
0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
761, 1371, 1298, 1024, 1061, 2631, 5739, 4211, 1676, 2218, 2374, 2643
0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 760
0, 189, 3103, 551, 533, 448, 691, 583, 463, 895, 678, 881
2535, 2487, 2158, 2293, 3363, 3619, 5238, 5077, 3578, 2747, 3094, 5290
3271, 2117, 1520, 3073, 3350, 5737, 7410, 5476, 2835, 2127, 2824, 3212
18, 12, 11, 9, 11, 29, 12, 18, 16, 13, 17, 19
0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
102538, 86243, 81150, 57151, 87864, 94101, 101091, 88286, 77080, 80750, 92413, 107796
1405, 1232, 1628, 1437, 1571, 1952, 3447, 1588, 1266, 1460, 1737, 1946
0, 0, 806, 791, 515, 458, 1126, 2318, 4626, 3235, 3122, 3743
4504, 7575, 5477, 2123, 3510, 4385, 3889, 5414, 2611, 4377, 10625, 11759
0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
133, 121, 139, 118, 268, 316, 1011, 394, 259, 217, 345, 258
673, 530, 864, 710, 984, 1798, 2159, 1258, 712, 670, 769, 901
800, 516, 431, 598, 1126, 2058, 2559, 665, 543, 510, 638, 751
299, 278, 248, 240, 224, 279, 441, 384, 281, 185, 200, 228
0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
53050, 56103, 49817, 55499, 63754, 76773, 79334, 61475, 53579, 65138, 61154, 66839
299, 229, 206, 230, 219, 326, 621, 450, 30, 27, 452, 2487
1542, 2049, 1884, 1606, 1655, 1860, 2190, 2384, 1794, 1892, 2052, 1758
1136, 862, 386, 347, 271, 194, 703, 1088, 1211, 1031, 3109, 3214
399, 878, 819, 962, 2414, 1759, 2198, 2164, 1819, 1808, 2323, 5435
302, 278, 221, 194, 201, 823, 812, 1732, 2019, 2373, 2220, 5429
0, 0, 0, 0, 0, 0, 0, 0, 585, 1081, 1916, 2245
0, 0, 2, 2, 287, 238, 245, 220, 246, 59, 2183, 2108
0, 0, 4, 1, 1329, 576, 721, 1310, 1199, 884, 989, 1490
0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0, 0, 0, 0, 343, 321, 408, 396, 204, 731, 730, 308
28971, 31861, 26799, 27274, 32703, 68392, 78780, 55015, 36574, 36557, 49246, 53764
5220, 4365, 4434, 4831, 5775, 6365, 6644, 6354, 13391, 12576, 14813, 17696
7083, 5135, 2703, 3128, 1790, 2365, 2470, 2296, 1200, 2205, 5441, 8296
1937, 2573, 1871, 2138, 2148, 3445, 4004, 3937, 2836, 2184, 2406, 2861
4187, 2999, 3128, 2822, 3202, 3871, 4571, 3910, 3338, 3375, 3715, 4214
0, 0, 0, 0, 0, 0, 0, 58, 173, 3576, 1532, 1103
1280, 1090, 1733, 1945, 1428, 2098, 2409, 2578, 2246, 3819, 2309, 2146
15, 14, 12, 11, 11, 13, 15, 14, 14, 10, 5, 6
0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
569, 1096, 988, 847, 1032, 1350, 2479, 2365, 1151, 1755, 1955, 1639
6648, 3135, 2025, 1561, 1689, 1822, 2084, 1830, 1361, 2468, 3399, 5546
2377, 1808, 1451, 2022, 2269, 2402, 3924, 4764, 2439, 1703, 2224, 2354
5378, 4222, 4101, 3787, 4732, 19579, 12269, 9191, 7181, 5621, 7519, 6827
0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
1907, 1339, 1724, 1644, 2756, 4448, 4281, 3941, 1949, 1861, 1935, 2313
0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
8359, 7958, 9653, 10279, 11427, 14722, 16857, 14253, 12439, 9468, 9253, 10981
0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0, 0, 0, 0, 14, 999, 691, 1570, 1289, 586, 514, 217
0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
10153, 3287, 2060, 4028, 1956, 2853, 2875, 1678, 1039, 4046, 8911, 11375
0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
2316, 2919, 2751, 1034, 4363, 4270, 4177, 3387, 2375, 2803, 3500, 4471
546, 514, 409, 368, 280, 326, 1202, 580, 1016, 1021, 1086, 556
1697, 1663, 1677, 1497, 2809, 5307, 5180, 4023, 2219, 1617, 1749, 2248
0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
500, 405, 344, 445, 733, 835, 992, 1196, 1217, 1035, 1342, 1421
0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2564
2671, 3254, 2903, 3551, 4260, 8641, 10668, 6818, 3654, 3015, 3667, 3664
790, 1530, 1373, 1173, 1367, 1860, 2779, 2801, 1757, 1161, 1817, 2157
15454, 16872, 17066, 19465, 22364, 34818, 44415, 35569, 27045, 24899, 25589, 27311
0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
811, 1650, 1580, 1545, 3924, 2841, 3596, 3554, 2585, 4314, 4543, 8260
23809, 25890, 13001, 13353, 9261, 10934, 10098, 9590, 9018, 10925, 21125, 31968
0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
1148, 967, 1138, 887, 859, 1061, 3721, 3455, 2511, 1508, 3111, 3915
0, 676, 2148, 1701, 2112, 2447, 1206, 4135, 2078, 1379, 2336, 2753
6530, 5960, 5425, 6229, 12076, 15083, 14950, 11250, 8151, 7363, 10865, 12166
